FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
10,1117.8,18.13793,2.485671,4.39921,10.0002,97.57802254244979,1.0919467590300016,18.175,4.3950000000000005,2.44875,10.18125,18.14375,51.0

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
11,1184.3,17.67545,0.2685333,4.400796,0.99942,92.66391502489398,0.34820337916499966,17.71875,4.39625,0.24375,1.0725,17.681250000000002,40.0
11,1185.6,17.72488,0.5151134,4.39979,1.99915,96.33656974113462,0.33448302289199994,17.76875,4.39625,0.485625,2.06625,17.73125,40.0
11,1186.2,17.77701,0.7617154,4.399475,2.99927,97.44621275648205,0.34580889970400186,17.81875,4.3950000000000005,0.735,3.0862499999999997,17.78125,40.5
11,1186.0,17.82974,1.008158,4.399215,3.99965,97.88667247409464,0.37987474417000655,17.875,4.3950000000000005,0.97875,4.095,17.84375,41.0
11,1186.8,17.88537,1.254807,4.399669,4.99989,98.01794487534765,0.4448264371800015,17.931250000000002,4.3950000000000005,1.224375,5.1225,17.89375,42.0
11,1187.0,17.93849,1.501179,4.399364,5.99989,98.02002786208341,0.5331844097500031,17.98125,4.3950000000000005,1.47,6.13875,17.94375,43.5
11,1188.2,17.99422,1.747805,4.399621,6.99988,97.92190592967452,0.653568641619998,18.03125,4.3950000000000005,1.711875,7.14375,18.0,45.0
11,1189.9,18.05048,1.994191,4.399789,8.0,97.78366918598009,0.7977927616800002,18.09375,4.3950000000000005,1.9593749999999999,8.14875,18.05,47.0
11,1190.5,18.10628,2.240892,4.399649,8.99959,97.5866919781238,0.979180857850011,18.14375,4.3950000000000005,2.20125,9.161249999999999,18.1125,49.0
11,1192.9,18.16269,2.486999,4.399371,10.0001,97.3955578583831,1.1764419302099967,18.2,4.39375,2.446875,10.185,18.16875,52.0

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
12,1258.2,17.67906,0.269739,4.400656,0.99942,92.22794762813692,0.37062834582000015,17.71875,4.3950000000000005,0.24375,1.0425,17.681250000000002,40.5
12,1257.2,17.72832,0.5164257,4.399164,1.99901,96.05272500933063,0.3613872381840011,17.76875,4.39375,0.489375,2.0925,17.73125,40.5
12,1257.1,17.78405,0.7628712,4.399302,2.99927,97.25623414879891,0.3722450548200005,17.825,4.3950000000000005,0.733125,3.0825,17.7875,41.0
12,1258.0,17.8403,1.00941,4.39948,3.99965,97.71327749665828,0.4117970409999998,17.88125,4.3950000000000005,0.97875,4.09875,17.84375,41.5
12,1258.5,17.89608,1.25601,4.399504,5.00003,97.86453059152811,0.48000345568000213,17.9375,4.3950000000000005,1.22625,5.1187499999999995,17.90625,42.5
12,1258.2,17.95276,1.50238,4.399605,5.99989,97.86918156896625,0.5747215253500038,17.993750000000002,4.39375,1.47,6.13125,17.962500000000002,44.0
12,1259.9,18.00845,1.749183,4.399367,7.00002,97.76375891791817,0.704417609010001,18.05,4.3950000000000005,1.7175,7.154999999999999,18.01875,45.5
